Survey Location,Latitude,Longitude,Year,empty nests,1 egg nests,2 egg nests,3 egg nests,4 egg nests,Total number of nests
A1,37.44911787481784,-122.08909748114948,2013,8,14,17,8,0,134
A1,37.44911787481784,-122.08909748114948,2014,5,12,82,76,0,202
A1,37.44911787481784,-122.08909748114948,2015,6,20,81,98,1,202
A1,37.44911787481784,-122.08909748114948,2016,3,19,63,89,1,172
A1,37.44911787481784,-122.08909748114948,2017,2,11,52,54,1,119
A1,37.44911787481784,-122.08909748114948,2018,3,18,22,44,0,86
A1,37.44911787481784,-122.08909748114948,2019,0,1,0,0,0,1
A1,37.44911787481784,-122.08909748114948,2020,None,None,None,None,None,None
A1,37.44911787481784,-122.08909748114948,2021,0,0,0,0,0,0
A1,37.44911787481784,-122.08909748114948,2022,0,0,0,0,0,0
A1,37.44911787481784,-122.08909748114948,2023,0,0,0,0,0,0
A5/A7/A8,37.43274727730179,-121.99956391589883,2013,9,16,30,8,0,119
A5/A7/A8,37.43274727730179,-121.99956391589883,2014,52,36,73,29,0,138
A5/A7/A8,37.43274727730179,-121.99956391589883,2015,0,0,0,0,0,0
A5/A7/A8,37.43274727730179,-121.99956391589883,2016,0,0,0,0,0,0
A5/A7/A8,37.43274727730179,-121.99956391589883,2017,80,240,489,371,4,1113
A5/A7/A8,37.43274727730179,-121.99956391589883,2018,229,425,797,854,12,2985
A5/A7/A8,37.43274727730179,-121.99956391589883,2019,90,289,891,979,25,3047
A5/A7/A8,37.43274727730179,-121.99956391589883,2020,None,None,None,None,None,None
A5/A7/A8,37.43274727730179,-121.99956391589883,2021,224,359,858,895,12,3204
A5/A7/A8,37.43274727730179,-121.99956391589883,2022,89,251,655,873,8,3247
A5/A7/A8,37.43274727730179,-121.99956391589883,2023,103,184,539,1086,29,2951
A9,37.450280924714356,-122.00184866528873,2013,453,405,918,815,10,7945
A9,37.450280924714356,-122.00184866528873,2014,136,564,1895,2651,39,7207
A9,37.450280924714356,-122.00184866528873,2015,195,546,1552,2260,28,6499
A9,37.450280924714356,-122.00184866528873,2016,235,370,895,1485,20,5042
A9,37.450280924714356,-122.00184866528873,2017,181,568,795,607,12,4934
A9,37.450280924714356,-122.00184866528873,2018,1066,323,247,106,0,692
A9,37.450280924714356,-122.00184866528873,2019,64,2,0,0,0,2
A9,37.450280924714356,-122.00184866528873,2020,None,None,None,None,None,None
A9,37.450280924714356,-122.00184866528873,2021,0,1,0,0,0,1
AB2,37.4390813208929,-122.05072896880239,2013,8,9,8,6,1,60
AB2,37.4390813208929,-122.05072896880239,2014,1,3,17,20,0,41
AB2,37.4390813208929,-122.05072896880239,2015,9,13,28,30,0,71
AB2,37.4390813208929,-122.05072896880239,2016,14,18,51,60,1,130
AB2,37.4390813208929,-122.05072896880239,2017,110,64,38,55,1,162
AB2,37.4390813208929,-122.05072896880239,2018,23,24,38,34,0,148
AB2,37.4390813208929,-122.05072896880239,2019,13,70,105,93,2,324
AB2,37.4390813208929,-122.05072896880239,2020,None,None,None,None,None,None
AB2,37.4390813208929,-122.05072896880239,2021,86,31,42,63,1,194
AB2,37.4390813208929,-122.05072896880239,2022,37,158,471,592,12,1297
AB2,37.4390813208929,-122.05072896880239,2023,196,242,609,572,12,2154
M1/M2,37.47683791295603,-122.0402754951869,2013,38,162,306,104,0,630
M1/M2,37.47683791295603,-122.0402754951869,2014,62,114,373,149,0,657
M1/M2,37.47683791295603,-122.0402754951869,2015,73,173,461,245,3,893
M1/M2,37.47683791295603,-122.0402754951869,2016,131,164,307,216,0,691
M1/M2,37.47683791295603,-122.0402754951869,2017,48,232,565,555,6,1370
M1/M2,37.47683791295603,-122.0402754951869,2018,71,92,301,358,2,755
M1/M2,37.47683791295603,-122.0402754951869,2019,20,110,302,241,2,655
M1/M2,37.47683791295603,-122.0402754951869,2020,None,None,None,None,None,None
M1/M2,37.47683791295603,-122.0402754951869,2021,34,249,689,664,9,1663
M1/M2,37.47683791295603,-122.0402754951869,2022,26,177,682,850,12,1721
M1/M2,37.47683791295603,-122.0402754951869,2023,21,97,304,271,3,1083
M3,37.46873900451011,-122.01915963310819,2013,24,250,1026,1219,4,2538
M3,37.46873900451011,-122.01915963310819,2014,55,219,829,1277,6,2439
M3,37.46873900451011,-122.01915963310819,2015,60,205,668,730,3,1611
M3,37.46873900451011,-122.01915963310819,2016,137,181,426,495,4,1110
M3,37.46873900451011,-122.01915963310819,2017,9,49,73,73,1,198
M3,37.46873900451011,-122.01915963310819,2018,68,150,512,992,12,1684
M3,37.46873900451011,-122.01915963310819,2019,55,350,709,736,9,1806
M3,37.46873900451011,-122.01915963310819,2020,None,None,None,None,None,None
M3,37.46873900451011,-122.01915963310819,2021,56,304,1019,1577,19,3002
M3,37.46873900451011,-122.01915963310819,2022,31,269,873,1003,14,2163
M3,37.46873900451011,-122.01915963310819,2023,0,0,0,0,0,0
M4/M5,37.476226219724204,-121.98586069804072,2013,42,227,776,562,1,1704
M4/M5,37.476226219724204,-121.98586069804072,2014,78,281,845,670,12,1808
M4/M5,37.476226219724204,-121.98586069804072,2015,143,392,1016,1018,4,2443
M4/M5,37.476226219724204,-121.98586069804072,2016,450,524,726,555,9,1820
M4/M5,37.476226219724204,-121.98586069804072,2017,114,463,1072,1064,13,2623
M4/M5,37.476226219724204,-121.98586069804072,2018,121,303,925,1107,9,2347
M4/M5,37.476226219724204,-121.98586069804072,2019,102,323,938,1141,16,2427
M4/M5,37.476226219724204,-121.98586069804072,2020,None,None,None,None,None,None
M4/M5,37.476226219724204,-121.98586069804072,2021,71,95,155,93,0,347
M4/M5,37.476226219724204,-121.98586069804072,2022,3,13,22,12,0,48
M4/M5,37.476226219724204,-121.98586069804072,2023,121,189,463,695,14,1366
N2A/N3A,37.55286278464577,-122.11488548134662,2013,83,247,804,939,6,3128
N2A/N3A,37.55286278464577,-122.11488548134662,2014,77,262,1190,1249,4,2957
N2A/N3A,37.55286278464577,-122.11488548134662,2015,133,142,310,337,1,1075
N2A/N3A,37.55286278464577,-122.11488548134662,2016,286,130,198,260,5,736
N2A/N3A,37.55286278464577,-122.11488548134662,2017,119,57,184,238,2,578
N2A/N3A,37.55286278464577,-122.11488548134662,2018,92,111,365,414,3,1125
N2A/N3A,37.55286278464577,-122.11488548134662,2019,81,128,320,197,2,1124
N2A/N3A,37.55286278464577,-122.11488548134662,2020,None,None,None,None,None,None
N2A/N3A,37.55286278464577,-122.11488548134662,2021,124,221,487,535,5,1638
N2A/N3A,37.55286278464577,-122.11488548134662,2022,116,256,705,948,12,2165
N2A/N3A,37.55286278464577,-122.11488548134662,2023,39,104,335,415,3,1760
N6/N7,37.53387524955359,-122.10180244409055,2013,93,353,891,769,2,3456
N6/N7,37.53387524955359,-122.10180244409055,2014,95,591,1708,1612,14,3932
N6/N7,37.53387524955359,-122.10180244409055,2015,80,417,1483,2222,17,4148
N6/N7,37.53387524955359,-122.10180244409055,2016,359,524,1112,1260,34,2941
N6/N7,37.53387524955359,-122.10180244409055,2017,184,299,894,1368,30,2602
N6/N7,37.53387524955359,-122.10180244409055,2018,191,518,1499,1699,23,3829
N6/N7,37.53387524955359,-122.10180244409055,2019,213,487,817,478,8,4029
N6/N7,37.53387524955359,-122.10180244409055,2020,None,None,None,None,None,None
N6/N7,37.53387524955359,-122.10180244409055,2021,106,580,1379,1456,14,3439
N6/N7,37.53387524955359,-122.10180244409055,2022,154,249,813,1183,8,2257
N6/N7,37.53387524955359,-122.10180244409055,2023,87,380,997,1168,8,3447
PAFCC,37.44899823851455,-122.09687085079037,2013,248,598,2110,2024,14,7004
PAFCC,37.44899823851455,-122.09687085079037,2014,319,906,2892,3319,11,7132
PAFCC,37.44899823851455,-122.09687085079037,2015,338,941,2921,3015,7,6894
PAFCC,37.44899823851455,-122.09687085079037,2016,175,849,2462,3331,16,6678
PAFCC,37.44899823851455,-122.09687085079037,2017,347,960,3461,3603,10,8090
PAFCC,37.44899823851455,-122.09687085079037,2018,317,1101,3211,4701,27,9653
PAFCC,37.44899823851455,-122.09687085079037,2019,188,1024,2974,3853,35,9026
PAFCC,37.44899823851455,-122.09687085079037,2020,None,None,None,None,None,None
PAFCC,37.44899823851455,-122.09687085079037,2021,233,979,2815,3281,12,9159
PAFCC,37.44899823851455,-122.09687085079037,2022,345,883,3247,4576,22,9778
PAFCC,37.44899823851455,-122.09687085079037,2023,180,765,2660,4401,25,8681
